Trial_ID,Participant_ID,Task_Number,Task_Difficulty,Task_Description,ASR_Transcript,Reference_Text,ASR_Accuracy,LLM_Suggestion_1,LLM_Suggestion_2,LLM_Suggestion_3,Correct_Suggestion_Rank,User_Choice,Final_Command,Execution_Success,Execution_Time_Seconds,ASR_Time,LLM_Time,Confirmation_Time,Total_Latency,Retry_Count,Manual_Edit,Error_Category,Error_Details
T098,P05,18,3,Generate system health report,Generate machine health report,Generate system health report,87.4,"Get-ComputerInfo | Out-File ""system_report.txt""; Get-Process | Out-File ""system_report.txt"" -Append",netstat,Get-NetTCPConnection,1,1,"Get-ComputerInfo | Out-File ""system_report.txt""; Get-Process | Out-File ""system_report.txt"" -Append",Success,0.7,2.6,5.1,2.0,9.7,0,No,None,None
T099,P05,19,2,List files by size,List files by size,List files by size,93.6,Get-ChildItem | Sort-Object Length -Descending,dir,Get-ChildItem -Name,1,1,Get-ChildItem | Sort-Object Length -Descending,Success,0.5,2.5,4.4,1.5,8.4,0,No,None,None
T100,P05,20,1,List USB devices,List ... USB devices,List USB devices,88.6,Get-WmiObject -Class Win32_USBControllerDevice,whoami,Get-LocalUser,1,2,dir,Success,0.8,3.0,4.5,2.0,9.5,0,No,None,None
T101,P06,1,1,Show running processes,Show running processes,Show running processes,97.1,Get-Process,tasklist,Get-Process | Format-Table,1,1,Get-Process,Success,0.8,2.7,3.9,2.1,8.7,0,No,None,None
T102,P06,2,2,Rename a file,Rename a file,Rename a file,93.2,"Rename-Item ""oldname.txt"" ""newname.txt""",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Rename-Item ""oldname.txt"" ""newname.txt""",Success,1.3,2.3,5.7,2.0,10.0,0,No,None,None
T103,P06,3,3,Show memory usage,Show memory usage,Show memory usage,93.5,Get-WmiObject -Class Win32_OperatingSystem,hostname,Get-ComputerInfo | Select-Object Name,1,1,Get-WmiObject -Class Win32_OperatingSystem,Success,1.1,2.0,5.7,1.0,8.7,0,No,None,None
T104,P06,4,2,Show network adapters,Show network adapters,Show network adapters,95.3,Get-NetAdapter,netstat,Get-NetTCPConnection,1,1,Get-NetAdapter,Success,0.7,2.6,5.0,1.8,9.4,0,No,None,None
T105,P06,5,3,Create a self-signed certificate,Create a self-signed certificate,Create a self-signed certificate,88.9,"New-SelfSignedCertificate -DnsName ""localhost"" -CertStoreLocation ""Cert:\LocalMachine\My""",tasklist,Get-Process,1,1,"New-SelfSignedCertifiGet-Contente -DnsName ""localhost"" -CertStoreLoGet-Contention ""Cert:\LocalMachine\My""",Success,0.8,2.2,3.7,0.9,6.8,0,No,None,None
T106,P06,6,1,Show keyboard layout,Show keyboard layout,Show keyboard layout,98.2,Get-WinUserLanguageList,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-WinUserLanguageList,Success,0.9,3.2,3.8,1.3,8.3,0,No,None,None
T107,P06,7,3,Manage Windows services,Manage ... Windows services,Manage Windows services,85.0,"Get-Service | Where-Object {$_.Status -eq ""Stopped""} | Start-Service",netstat,Get-NetTCPConnection,1,1,"Get-Service | Where-Object {$_.Status -eq ""Stopped""} | Start-Service",Success,0.4,2.7,4.1,1.9,8.7,0,No,None,None
T108,P06,8,2,Uninstall a program,Uninstall a program,Uninstall a program,82.8,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",date,Get-Date,3,1,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",Failed,0.5,3.1,4.7,2.1,9.9,2,No,User,User aborted execution
T109,P06,9,2,List files by date modified,List documents uh by date modified,List files by date modified,93.5,Get-ChildItem | Sort-Object LastWriteTime -Descending,dir,Get-ChildItem -Name,1,2,dir,Success,0.9,2.9,4.3,1.3,8.5,0,No,None,None
T110,P06,10,1,Show user account details,Show user account details,Show user account details,99.9,Get-LocalUser,ipconfig,Get-NetIPConfiguration,1,1,Get-LocalUser,Success,0.7,2.8,3.8,2.1,8.7,0,No,None,None
T111,P06,11,1,Display current user,Display current user,Display current user,96.3,whoami,ipconfig,Get-NetIPConfiguration,1,2,dir,Success,1.4,2.9,4.7,1.0,8.6,0,No,None,None
T112,P06,12,3,Schedule task to run daily,Schedule task to run daily,Schedule task to run daily,86.6,"Register-ScheduledTask -Action (New-ScheduledTaskAction -Execute ""script.ps1"") -Trigger (New-ScheduledTaskTrigger -Daily -At 9am) -TaskName ""DailyTask""",tasklist,Get-Process,1,2,dir,Success,0.8,2.5,4.6,1.5,8.6,0,No,None,None
T113,P06,13,2,Create a new directory called test,Create a new directory called test,Create a new directory called test,91.8,"New-Item -ItemType Directory -Name ""test""",whoami,Get-LocalUser,1,1,"New-Item -ItemType Directory -Name ""test""",Success,1.0,2.2,5.0,2.1,9.3,0,No,None,None
T114,P06,14,1,Display Windows features,Display Windows features,Display Windows features,97.7,Get-WindowsFeature,dir,Get-ChildItem -Name,1,1,Get-WindowsFeature,Success,0.4,2.1,4.8,1.7,8.6,0,No,None,None
T115,P06,15,2,Create file shortcut,Create symbolic link to file,Create symbolic link to file,95.0,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Set-LoGet-Contentionir,Clear-Host,1,1,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Success,0.9,2.8,5.1,1.5,9.4,0,No,None,None
T116,P06,16,1,Display time zone,Display time zone,Display time zone,86.5,Get-TimeZone,whoami,Get-LocalUser,3,1,Get-TimeZone,Failed,1.4,2.9,4.1,1.4,8.4,2,No,ASR,Speech recognition error
T117,P06,17,2,Find files larger than 10MB,Find files larger than 10MB,Find files larger than 10MB,85.6,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},systeminfo,Get-ComputerInfo,1,1,Get-ChildItem -Recurse | Where-Object {$_.Length -gt 10MB},Success,1.3,2.7,4.4,2.1,9.2,0,No,None,None
T118,P06,18,2,Show open ports,Show open ports,Show open ports,89.8,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",date,Get-Date,1,1,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Success,0.9,2.2,4.6,1.1,7.9,0,No,None,None
T119,P06,19,3,Compress all log files into archive,Zip all log docs into archive,Compress all log files into archive,73.0,"Get-ChildItem -Filter ""*.log"" | Compress-Archive -DestinationPath ""logs.zip""",tasklist,Get-Process,2,3,dir,Failed,1.5,2.5,5.1,1.0,8.6,3,No,Environment,System environment error
T120,P06,20,3,Block an IP address,Block an IP address,Block an IP address,78.5,"New-NetFirewallRule -DisplayName ""Block IP"" -Direction Inbound -RemoteAddress ""192.168.1.100"" -Action Block",Set-LoGet-Contention,Get-LoGet-Contention,1,3,Get-ChildItem -Force,Failed,0.2,2.1,5.2,1.9,9.2,0,No,Other,Unexpected system error
T121,P07,1,2,Test network latency to google.com,Test network latency to google.com,Test network latency to google.com,79.5,Test-NetConnection google.com,hostname,Get-ComputerInfo | Select-Object Name,2,1,Test-NetConnection google.com,Failed,0.9,2.2,4.3,1.6,8.1,0,Yes,ASR,Speech recognition error
T122,P07,2,1,Check motherboard info,Show motherboard details,Show motherboard details,96.1,Get-WmiObject -Class Win32_BaseBoard,Set-LoGet-Contentionir,Clear-Host,1,1,Get-WmiObject -Class Win32_BaseBoard,Success,0.6,2.2,3.8,2.0,8.0,0,No,None,None
T123,P07,3,1,Show disk space usage,Show disk space usage,Show disk space usage,92.4,Get-WmiObject -Class Win32_LogicalDisk,systeminfo,Get-ComputerInfo,1,1,Get-WmiObject -Class Win32_LogicalDisk,Success,1.1,2.6,4.6,1.5,8.7,0,No,None,None
T124,P07,4,1,Display current user,Display present user,Display current user,83.7,whoami,Set-LoGet-Contentionir,Clear-Host,3,2,dir,Failed,1.3,2.1,4.7,1.0,7.8,0,No,ASR,Speech recognition error
T125,P07,5,3,Schedule task to run daily,Schedule task to run daily,Schedule task to run daily,86.0,"Register-ScheduledTask -Action (New-ScheduledTaskAction -Execute ""script.ps1"") -Trigger (New-ScheduledTaskTrigger -Daily -At 9am) -TaskName ""DailyTask""",ipconfig,Get-NetIPConfiguration,1,1,"Register-ScheduledTask -Action (New-ScheduledTaskAction -Execute ""script.ps1"") -Trigger (New-ScheduledTaskTrigger -Daily -At 9am) -TaskName ""DailyTask""",Success,1.3,2.9,5.2,1.3,9.4,0,No,None,None
T126,P07,6,3,Set firewall rules,Configure firewall rules,Configure firewall rules,92.1,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",date,Get-Date,1,1,"New-NetFirewallRule -DisplayName ""Allow App"" -Direction Inbound -Protocol TCP -LocalPort 8080 -Action Allow",Success,1.2,1.8,4.4,1.8,8.0,0,No,None,None
T127,P07,7,2,Delete a non-empty directory,Delete a non-empty directory,Delete a non-empty directory,82.2,"Remove-Item ""directory"" -Recurse -Force",Set-LoGet-Contention,Get-LoGet-Contention,1,2,dir,Failed,0.9,2.7,4.3,1.0,8.0,0,Yes,LLM,Command generation error
T128,P07,8,2,Show open ports,Show open ports,Show open ports,88.9,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Set-LoGet-Contention,Get-LoGet-Contention,1,1,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Listen""}",Success,0.4,2.1,4.6,1.0,7.7,0,No,None,None
T129,P07,9,3,Create system restore point,Make system restore point,Create system restore point,78.3,"Checkpoint-Computer -Description ""Manual Restore Point""",whoami,Get-LocalUser,1,2,dir,Failed,0.3,2.7,5.5,1.1,9.3,0,No,User,User aborted execution
T130,P07,10,1,Display system date and time,Display system date and time,Display system date and time,95.7,Get-Date,date,Get-Date -Format 'yyyy-MM-dd',1,1,Get-Date,Success,1.1,2.2,4.2,1.0,7.4,0,No,None,None
T131,P07,11,3,Watch network activity,Monitor network traffic,Monitor network traffic,78.2,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Established""} | Measure-Object",dir,Get-ChildItem -Name,1,1,"Get-NetTCPConnection | Where-Object {$_.State -eq ""EstabliPowerShelled""} | Measure-Object",Failed,0.7,2.7,5.3,1.2,9.2,0,No,ASR,Speech recognition error
T132,P07,12,3,Set up VPN connection,Set you know up VPN connection,Set up VPN connection,86.9,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",Set-LoGet-Contentionir,Clear-Host,1,3,Get-ChildItem -Force,Success,1.0,2.0,4.1,1.1,7.2,0,No,None,None
T133,P07,13,1,Show active network connections,Show so active network connections,Show active network connections,94.6,Get-NetTCPConnection,Set-LoGet-Contentionir,Clear-Host,1,1,Get-NetTCPConnection,Success,1.4,2.7,4.0,1.1,7.8,0,No,None,None
T134,P07,14,1,List installed programs,List installed programs,List installed programs,96.8,Get-WmiObject -Class Win32_Product,Set-LoGet-Contentionir,Clear-Host,1,1,Get-WmiObject -Class Win32_Product,Success,0.7,3.1,5.1,1.7,9.9,0,No,None,None
T135,P07,15,2,Copy files with specific extension,Copy files with specific extension,Copy files with specific extension,90.1,"Get-ChildItem -Filter ""*.pdf"" | Copy-Item -Destination ""pdf_backup\""",systeminfo,Get-ComputerInfo,1,1,"Get-ChildItem -Filter ""*.pdf"" | Copy-Item -Destination ""pdf_backup\""",Success,0.6,2.9,5.2,1.8,9.9,0,No,None,None
T136,P07,16,2,Rename all files with specific extension,Rename all files with specific extension,Rename all files with specific extension,77.7,"Get-ChildItem -Filter ""*.txt"" | ForEach-Object {Rename-Item $_.Name ($_.BaseName + "".bak"")}",Set-LoGet-Contentionir,Clear-Host,2,2,dir,Failed,1.1,2.3,5.4,1.4,9.1,2,No,ASR,Speech recognition error
T137,P07,17,2,Flush DNS cache,Flush DNS cache,Flush DNS cache,72.5,Clear-DnsClientCache,dir,Get-ChildItem -Name,1,1,Clear-DnsClientCache,Failed,1.3,3.2,5.7,1.5,10.4,0,Yes,LLM,Command generation error
T138,P07,18,1,List all files in current directory,List uh all files in current directory,List all files in current directory,87.2,Get-ChildItem,dir,Get-ChildItem -Name,1,1,Get-ChildItem,Success,1.1,2.5,4.4,0.8,7.7,0,No,None,None
T139,P07,19,2,Terminate a process by ID,Terminate a process by ID,Terminate a process by ID,86.3,Stop-Process -Id 1234,tasklist,Get-Process,1,1,Stop-Process -Id 1234,Success,1.0,3.1,4.7,1.1,8.9,0,No,None,None
T140,P07,20,3,Show memory usage,Show memory usage,Show memory usage,90.2,Get-WmiObject -Class Win32_OperatingSystem,dir,Get-ChildItem -Name,1,1,Get-WmiObject -Class Win32_OperatingSystem,Success,0.3,2.8,4.2,1.9,8.9,0,No,None,None
T141,P08,1,1,List system drivers,List sys drivers,List system drivers,90.1,Get-WmiObject -Class Win32_SystemDriver,hostname,Get-ComputerInfo | Select-Object Name,1,1,Get-WmiObject -Class Win32_SystemDriver,Success,0.6,3.0,4.4,2.0,9.4,0,No,None,None
T142,P08,2,2,Save event logs to file,Export event logs to file,Export event logs to file,84.7,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",whoami,Get-LocalUser,1,1,"Get-WinEvent -LogName System | Export-Csv ""system_logs.csv""",Success,1.2,2.4,5.4,1.2,9.0,0,No,None,None
T143,P08,3,1,Display CPU information,Display CPU information,Display CPU information,92.6,Get-WmiObject -Class Win32_Processor,hostname,Get-ComputerInfo | Select-Object Name,1,1,Get-WmiObject -Class Win32_Processor,Success,1.0,2.8,5.0,0.9,8.7,0,No,None,None
T144,P08,4,2,Copy files with specific extension,Copy file with specific extension,Copy files with specific extension,85.4,"Get-ChildItem -Filter ""*.pdf"" | Copy-Item -Destination ""pdf_backup\""",hostname,Get-ComputerInfo | Select-Object Name,1,2,dir,Success,0.6,1.8,4.2,1.3,7.3,0,No,None,None
T145,P08,5,2,Search for processes by name,Search for processes by name,Search for processes by name,91.8,"Get-Process -Name ""processname""",whoami,Get-LocalUser,1,2,tasklist,Success,0.7,2.3,4.4,1.2,7.9,0,No,None,None
T146,P08,6,3,Monitor CPU usage for 30 seconds,Watch CPU usage for 30 seconds,Monitor CPU usage for 30 seconds,74.0,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Set-LoGet-Contention,Get-LoGet-Contention,3,1,Get-Counter '\Processor(_Total)\% Processor Time' -SampleInterval 1 -MaxSamples 30,Failed,0.8,1.9,4.5,1.3,7.7,1,No,ASR,Speech recognition error
T147,P08,7,3,Set up VPN connection,Set up VPN connection,Set up VPN connection,84.3,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",tasklist,Get-Process,1,1,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",Success,0.6,2.7,5.3,1.2,9.2,0,No,None,None
T148,P08,8,1,Show active network connections,Show active um network connections,Show active network connections,91.1,Get-NetTCPConnection,dir,Get-ChildItem -Name,1,1,Get-NetTCPConnection,Success,1.1,3.2,5.7,1.2,10.1,0,No,None,None
T149,P08,9,1,Display system date and time,Display ... system date and time,Display system date and time,89.3,Get-Date,date,Get-Date -Format 'yyyy-MM-dd',1,1,Get-Date,Success,1.4,2.9,3.6,1.7,8.2,0,No,None,None
T150,P08,10,2,Search for text in all files,Search for text in all files,Search for text in all files,85.8,"Select-String -Path ""*.txt"" -Pattern ""search_text""",Set-LoGet-Contentionir,Clear-Host,1,1,"Select-String -Path ""*.txt"" -Pattern ""search_text""",Success,0.8,2.2,4.1,1.0,7.3,0,No,None,None
T151,P08,11,3,Create system maintenance script,Create system maintenance script,Create system maintenance script,80.5,"New-Item -ItemType File -Path ""maintenance.ps1""; Add-Content ""maintenance.ps1"" ""Get-ChildItem C:\ -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Remove-Item -Force""",dir,Get-ChildItem -Name,1,1,"New-Item -ItemType File -Path ""maintenance.ps1""; Add-Content ""maintenance.ps1"" ""Get-ChildItem C:\ -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Remove-Item -Force""",Success,1.0,3.2,5.1,1.9,10.2,0,No,None,None
T152,P08,12,1,List sound devices,List sound devices,List sound devices,94.3,Get-WmiObject -Class Win32_SoundDevice,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-WmiObject -Class Win32_SoundDevice,Success,0.6,2.7,5.0,2.1,9.8,0,No,None,None
T153,P08,13,2,Flush DNS cache,Flush ... DNS cache,Flush DNS cache,92.9,Clear-DnsClientCache,Set-LoGet-Contentionir,Clear-Host,1,1,Clear-DnsClientCache,Success,1.1,2.1,4.4,1.4,7.9,0,No,None,None
T154,P08,14,3,Configure remote desktop access,Configure remote desktop um access,Configure remote desktop access,84.5,Set-ItemProperty -Path 'HKLM:\System\CurrentControlSet\Control\Terminal Server' -Name 'fDenyTSConnections' -Value 0,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Set-ItemProperty -Path 'HKLM:\System\CurrentControlSet\Control\Terminal Server' -Name 'fDenyTSConnections' -Value 0,Success,0.3,2.9,4.7,1.3,8.9,0,No,None,None
T155,P08,15,2,Create file shortcut,Create symbolic link to file,Create symbolic link to file,86.1,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Set-LoGet-Contentionir,Clear-Host,1,1,"New-Item -ItemType SymbolicLink -Path ""link.txt"" -Target ""original.txt""",Success,0.4,3.2,4.1,1.0,8.3,0,No,None,None
T156,P08,16,1,Display help for dir command,Display ... help for dir command,Display help for dir command,98.5,Get-Help dir,netstat,Get-NetTCPConnection,1,1,Get-Help dir,Success,0.5,2.4,4.5,0.8,7.7,0,No,None,None
T157,P08,17,2,List files by size,List files by size,List files by size,86.6,Get-ChildItem | Sort-Object Length -Descending,dir,Get-ChildItem -Name,1,1,Get-ChildItem | Sort-Object Length -Descending,Success,1.5,2.0,5.0,1.4,8.4,0,No,None,None
T158,P08,18,3,Decrypt a file,Decrypt a file,Decrypt a file,82.2,"Cipher /D ""file.txt""",date,Get-Date,1,1,"Cipher /D ""file.txt""",Success,1.0,2.7,5.3,2.0,10.0,0,No,None,None
T159,P08,19,1,Clear the screen,Clear the screen,Clear the screen,92.1,Clear-Host,Set-LoGet-Contentionir,Clear-Host,1,1,Clear-Host,Success,0.8,2.6,4.8,1.3,8.7,0,No,None,None
T160,P08,20,1,List all files in current directory,List all files in current folder,List all files in current directory,99.4,Get-ChildItem,dir,Get-ChildItem -Name,1,1,Get-ChildItem,Success,0.9,2.5,3.9,1.3,7.7,0,No,None,None
T161,P09,1,2,Count lines in file,Count lines in a specific file,Count lines in a specific file,79.3,Get-Content file.txt | Measure-Object -Line,netstat,Get-NetTCPConnection,3,3,Get-ChildItem -Force,Failed,1.2,2.7,4.5,1.6,8.8,0,No,ASR,Speech recognition error
T162,P09,2,1,Show user account details,Show user account details,Show user account details,90.5,Get-LocalUser,date,Get-Date,1,1,Get-LocalUser,Success,0.3,3.0,5.8,1.7,10.5,0,No,None,None
T163,P09,3,2,Move a file to another directory,Move a file to another path,Move a file to another directory,82.1,"Move-Item ""file.txt"" ""destination\file.txt""",netstat,Get-NetTCPConnection,3,2,dir,Failed,0.7,2.5,4.8,1.1,8.4,0,No,LLM,Command generation error
T164,P09,4,1,List startup programs,List startup programs,List startup programs,93.3,Get-CimInstance Win32_StartupCommand,tasklist,Get-Process,1,1,Get-CimInstance Win32_StartupCommand,Success,0.3,2.6,5.5,1.9,10.0,0,No,None,None
T165,P09,5,1,Display screen resolution,Display screen resolution,Display screen resolution,85.2,Get-WmiObject -Class Win32_VideoController,dir,Get-ChildItem -Name,3,2,dir,Failed,1.3,2.2,4.8,1.0,8.0,0,No,LLM,Command generation error
T166,P09,6,1,Display help for dir command,Display help for dir command,Display help for dir command,99.5,Get-Help dir,Set-LoGet-Contentionir,Clear-Host,1,2,dir,Success,1.0,2.1,5.1,1.0,8.2,0,No,None,None
T167,P09,7,3,Watch network activity,Monitor net traffic,Monitor network traffic,76.9,"Get-NetTCPConnection | Where-Object {$_.State -eq ""Established""} | Measure-Object",Set-LoGet-Contentionir,Clear-Host,1,1,"Get-NetTCPConnection | Where-Object {$_.State -eq ""EstabliPowerShelled""} | Measure-Object",Failed,0.5,2.4,3.7,0.9,7.0,0,No,ASR,Speech recognition error
T168,P09,8,1,Show current working directory,Show current working direct,Show current working directory,96.5,Get-Location,Set-LoGet-Contention,Get-LoGet-Contention,1,1,Get-LoGet-Contention,Success,0.4,1.9,4.2,1.9,8.0,0,No,None,None
T169,P09,9,3,Block an IP address,Block an IP address,Block an IP address,73.5,"New-NetFirewallRule -DisplayName ""Block IP"" -Direction Inbound -RemoteAddress ""192.168.1.100"" -Action Block",tasklist,Get-Process,3,3,Get-ChildItem -Force,Failed,1.1,2.7,3.8,1.3,7.8,1,Yes,LLM,Command generation error
T170,P09,10,2,Show file permissions,Show file permissions,Show file permissions,74.6,"Get-Acl ""file.txt""",hostname,Get-ComputerInfo | Select-Object Name,3,3,Get-ChildItem -Force,Failed,1.1,2.6,4.9,1.8,9.3,0,No,ASR,Speech recognition error
T171,P09,11,1,Show available drives,Show available drives,Show available drives,97.3,Get-WmiObject -Class Win32_LogicalDisk,Set-LoGet-Contentionir,Clear-Host,1,2,dir,Success,1.0,2.1,4.4,1.1,7.6,0,No,None,None
T172,P09,12,1,Check motherboard info,Show motherboard details,Show motherboard details,97.9,Get-WmiObject -Class Win32_BaseBoard,hostname,Get-ComputerInfo | Select-Object Name,1,1,Get-WmiObject -Class Win32_BaseBoard,Success,0.8,2.4,4.8,1.0,8.2,0,No,None,None
T173,P09,13,2,Test network latency to google.com,Test network latency to google.com,Test network latency to google.com,87.7,Test-NetConnection google.com,Set-LoGet-Contentionir,Clear-Host,1,1,Test-NetConnection google.com,Success,0.7,2.8,5.3,1.4,9.5,0,No,None,None
T174,P09,14,2,Delete a non-empty directory,Delete a non-empty directory,Delete a non-empty directory,91.6,"Remove-Item ""directory"" -Recurse -Force",systeminfo,Get-ComputerInfo,1,1,"Remove-Item ""directory"" -Recurse -Force",Success,0.6,2.9,5.0,1.6,9.5,0,No,None,None
T175,P09,15,3,Create system maintenance script,Create system maintenance script,Create system maintenance script,89.6,"New-Item -ItemType File -Path ""maintenance.ps1""; Add-Content ""maintenance.ps1"" ""Get-ChildItem C:\ -Recurse | Where-Object {$_.LastWriteTime -lt (Get-Date).AddDays(-30)} | Remove-Item -Force""",Set-LoGet-Contention,Get-LoGet-Contention,1,2,dir,Success,1.1,2.8,3.8,1.7,8.3,0,No,None,None
T176,P09,16,2,Rename a file,Rename ... a file,Rename a file,86.5,"Rename-Item ""oldname.txt"" ""newname.txt""",tasklist,Get-Process,2,1,"Rename-Item ""oldname.txt"" ""newname.txt""",Failed,1.2,3.0,5.3,0.8,9.1,3,No,ASR,Speech recognition error
T177,P09,17,2,Clean up temporary files,Clean up temporary docs,Clean up temporary files,87.3,Get-ChildItem $env:TEMP | Remove-Item -Recurse -Force,Set-LoGet-Contentionir,Clear-Host,1,3,dir,Success,0.5,1.9,4.8,1.7,8.4,0,No,None,None
T178,P09,18,3,Set up VPN connection,Set up VPN connection,Set up VPN connection,82.0,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",netstat,Get-NetTCPConnection,1,1,"Add-VpnConnection -Name ""MyVPN"" -ServerAddress ""vpn.example.com"" -TunnelType ""Pptp""",Success,1.4,3.1,5.5,1.5,10.1,0,No,None,None
T179,P09,19,3,Create a virtual machine,Create a virtual machine,Create a virtual machine,84.8,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",dir,Get-ChildItem -Name,1,1,"New-VM -Name ""TestVM"" -MemoryStartupBytes 1GB -NewVHDPath ""C:\VMs\TestVM.vhdx"" -NewVHDSizeBytes 20GB",Success,1.2,2.5,5.6,1.0,9.1,0,No,None,None
T180,P09,20,1,Show Windows update history,Show Windows update history,Show Windows update history,91.3,Get-HotFix,dir,Get-ChildItem -Name,1,1,Get-HotFix,Success,0.9,2.6,3.5,1.1,7.2,0,No,None,None
T181,P10,1,1,Display time zone,Display time zone,Display time zone,87.8,Get-TimeZone,Set-LoGet-Contentionir,Clear-Host,1,1,Get-TimeZone,Success,1.3,2.7,3.8,1.2,7.7,0,No,None,None
T182,P10,2,2,Find text files here,Find all text files in current directory,Find all text files in current directory,89.3,"Get-ChildItem -Filter ""*.txt""",whoami,Get-LocalUser,1,1,"Get-ChildItem -Filter ""*.txt""",Success,0.6,2.6,5.7,1.1,9.4,0,No,None,None
T183,P10,3,3,Configure IIS website,Configure IIS website,Configure IIS website,78.3,"Import-Module WebAdministration; New-Website -Name ""MySite"" -Port 80 -PhysicalPath ""C:\inetpub\wwwroot""",Set-LoGet-Contentionir,Clear-Host,2,1,"Import-Module WebAdministration; New-Website -Name ""MySite"" -Port 80 -PhysicalPath ""C:\inetpub\wwwroot""",Failed,1.1,2.1,4.3,1.5,7.9,0,Yes,LLM,Command generation error
T184,P10,4,2,Uninstall a program,Uninstall ... a program,Uninstall a program,94.3,"Get-WmiObject -Class Win32_Product | Where-Object {$_.Name -eq ""ProgramName""} | ForEach-Object {$_.Uninstall()}",Set-LoGet-Contention,Get-LoGet-Contention,1,2,dir,Success,0.5,2.0,3.6,1.8,7.4,0,No,None,None
T185,P10,5,2,Test network latency to google.com,Test network latency to google.com,Test network latency to google.com,70.8,Test-NetConnection google.com,tasklist,Get-Process,2,1,Test-NetConnection google.com,Failed,1.3,2.4,3.8,2.0,8.2,2,Yes,Environment,System environment error
T186,P10,6,2,Search for processes by name,Search for process by name,Search for processes by name,86.4,"Get-Process -Name ""processname""",Set-LoGet-Contentionir,Clear-Host,1,1,"Get-Process -Name ""processname""",Success,1.0,2.2,5.5,0.8,8.5,0,No,None,None
T187,P10,7,2,List files by date modified,List files by date modified,List files by date modified,92.4,Get-ChildItem | Sort-Object LastWriteTime -Descending,dir,Get-ChildItem -Name,1,2,dir,Success,0.9,2.9,4.1,2.1,9.1,0,No,None,None
T188,P10,8,3,Configure group policy,Configure group policy,Configure group policy,84.2,gpupdate /force,ipconfig,Get-NetIPConfiguration,1,1,gpupdate /force,Success,0.2,2.2,3.6,1.6,7.4,0,No,None,None
T189,P10,9,2,Rename a file,Rename a file,Rename a file,87.0,"Rename-Item ""oldname.txt"" ""newname.txt""",netstat,Get-NetTCPConnection,1,1,"Rename-Item ""oldname.txt"" ""newname.txt""",Success,0.9,2.0,4.1,1.1,7.2,0,No,None,None
T190,P10,10,1,Show firewall status,Display firewall status,Show firewall status,84.2,Get-NetFirewallProfile,Set-LoGet-Contention,Get-LoGet-Contention,3,1,Get-NetFirewallProfile,Failed,1.2,2.0,4.0,1.2,7.2,0,No,LLM,Command generation error
T191,P10,11,1,Show Windows version,Show Windows version,Show Windows version,98.5,Get-ComputerInfo | Select-Object WindowsProductName,Set-LoGet-Contentionir,Clear-Host,1,1,Get-ComputerInfo | Select-Object WindowsProductName,Success,0.3,2.5,4.2,1.4,8.1,0,No,None,None
T192,P10,12,1,Show power settings,Show power settings,Show power settings,88.7,Get-WmiObject -Class Win32_PowerPlan,netstat,Get-NetTCPConnection,1,2,dir,Success,0.6,2.8,5.6,1.9,10.3,0,No,None,None
T193,P10,13,1,Show system language,Show system language,Show system language,91.9,Get-WinSystemLocale,hostname,Get-ComputerInfo | Select-Object Name,1,2,dir,Success,0.6,3.1,4.4,0.9,8.4,0,No,None,None
